country,Afghanistan,Angola,Albania,Andorra,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bahamas,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,Democratic Republic of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Micronesia (Federated States of),Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Kiribati,Saint Kitts and Nevis,Republic of Korea,Kuwait,Lao People's Democratic Republic,Lebanon,Liberia,Libya,Saint Lucia,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Monaco,Republic of Moldova,Madagascar,Maldives,Mexico,Marshall Islands,The former Yugoslav Republic of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Democratic People's Republic of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,South Sudan,Sao Tome and Principe,Suriname,Slovakia,Slovenia,Sweden,Eswatini,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,United Republic of Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Saint Vincent and the Grenadines,Venezuela,Viet Nam,Vanuatu,Samoa,Yemen,South Africa,Zambia,Zimbabwe
1999,3.22,5.34,14.34,23.61,32.22,21.75,16.48,17.78,19.95,13.21,15.24,3.58,17.32,7.19,2.97,1.87,19.6,30.41,30.45,13.82,22.18,22.46,17.3,17.25,21.13,8.8,3.33,20.63,5.68,20.38,12.61,23.35,2.8,7.77,8.5,4.41,7.53,19.1,6.27,8.55,18.53,22.92,17.41,22.15,15.52,13.06,26.23,12.98,21.57,23.62,17.08,29.99,3.26,18.85,19.57,2.91,15.81,25.88,16.42,40.91,13,19.64,15.52,8.6,5.49,7.19,6.25,6.76,20.5,18.71,16.79,17.05,16.47,18.75,14.03,19.67,3.52,2.19,15.93,22.41,28.71,15.44,22.83,15.61,23.12,34.39,2.2,15.39,4.95,10.99,1.86,39.6,19.86,39.16,2.28,29.71,8.11,31.4,18.16,3.08,15.76,24.93,15.35,22.49,21.75,17.32,3.23,4.34,24.44,49.55,18.2,5.43,24.55,2.89,17.17,14.05,5.22,9.8,9.82,4.03,8.85,14.8,3.85,5.86,19.81,13.51,16.37,2.04,59.01,22.22,24.25,5.32,18.56,17.29,4.04,50.24,16.58,18.44,4.7,14.74,14.57,29.87,35.53,16.97,24.52,3.52,33.55,6.67,6.93,5.28,17.14,6.8,19.05,6.09,16.84,8.7,25.43,16.16,16.72,13.6,17.15,12.66,24.24,4.21,5.99,5.08,9.48,12.59,1.84,43.98,14.85,24.86,28.63,45.15,5.59,3.76,22.34,23.31,26.2,11.32,20.2,22.69,0.83,19.67,44.75,12.02,29.62,6.54,17.51,44.75,12.02,29.62,6.54,17.51
2000,3.39,5.63,14.67,23.76,32.68,22.14,16.76,18.2,20.45,13.5,15.57,3.78,17.55,7.52,3.15,1.98,19.82,30.74,30.92,14.04,22.41,23,17.76,17.75,21.72,9.13,3.55,21.28,5.91,20.94,12.85,23.78,2.95,8.11,8.88,4.63,7.82,19.51,6.53,8.96,19.14,23.35,17.71,22.28,15.79,13.32,26.75,13.2,22.21,24.25,17.52,30.58,3.43,19.09,19.64,3.07,16.12,26.48,16.7,41.46,13.47,20.14,15.85,9.02,5.75,7.58,6.6,7.04,20.79,19.3,17.3,17.55,17.01,19.02,14.59,19.83,3.76,2.31,16.45,22.98,29.1,15.69,23.06,15.86,23.71,34.93,2.25,15.75,5.21,11.3,1.98,40.49,20.38,39.5,2.44,30.12,8.27,31.82,18.67,3.25,16.35,25.05,15.66,22.6,22.3,17.49,3.39,4.57,24.91,50.06,18.38,5.72,24.83,3.05,17.6,14.37,5.46,10.26,10.1,4.25,9.33,15.31,4.04,6.16,20.31,13.9,16.75,2.18,59.28,22.75,24.73,5.57,19.14,17.66,4.19,50.61,17.03,18.62,4.82,15.14,15.08,30.39,35.96,17.16,24.62,3.77,34.04,6.95,7.21,5.33,17.66,7.09,19.67,6.36,17.11,9.14,25.9,16.34,16.94,13.85,17.62,13.04,24.8,4.41,6.28,5.32,9.73,12.97,1.95,44.65,15.47,25.41,29.22,45.82,5.88,3.95,22.49,23.72,26.9,11.63,20.8,23.07,0.88,20.25,45.46,12.5,30.22,6.72,18.02,45.46,12.5,30.22,6.72,18.02
2001,3.58,5.94,15.02,23.89,33.16,22.54,17.05,18.63,20.96,13.79,15.94,3.99,17.78,7.86,3.35,2.1,20.05,31.07,31.38,14.26,22.65,23.52,18.23,18.24,22.31,9.48,3.79,21.89,6.14,21.49,13.09,24.22,3.11,8.45,9.28,4.87,8.11,19.93,6.79,9.37,19.79,23.77,18,22.41,16.07,13.58,27.27,13.43,22.89,24.89,17.96,31.17,3.6,19.34,19.73,3.23,16.43,27.06,16.98,42.03,13.93,20.65,16.21,9.45,6.02,7.97,6.96,7.32,21.09,19.89,17.81,18.06,17.56,19.29,15.2,20.02,4.01,2.43,16.98,23.55,29.5,15.95,23.3,16.11,24.29,35.45,2.31,16.11,5.48,11.63,2.1,41.33,20.9,39.85,2.61,30.53,8.48,32.25,19.16,3.41,16.95,25.18,15.97,22.71,22.84,17.67,3.56,4.83,25.39,50.57,18.56,6.03,25.11,3.23,18.02,14.74,5.72,10.73,10.39,4.48,9.82,15.84,4.25,6.48,20.81,14.31,17.14,2.32,59.55,23.28,25.2,5.84,19.7,18.04,4.35,51.05,17.5,18.81,4.95,15.55,15.59,30.91,36.39,17.37,24.74,4.02,34.53,7.23,7.49,5.38,18.19,7.4,20.29,6.64,17.38,9.58,26.38,16.52,17.17,14.11,18.09,13.42,25.37,4.62,6.59,5.6,10.01,13.36,2.07,45.31,16.09,25.95,29.82,46.49,6.17,4.15,22.65,24.14,27.6,11.97,21.41,23.45,0.94,20.84,46.14,12.99,30.82,6.93,18.51,46.14,12.99,30.82,6.93,18.51
2002,3.78,6.25,15.4,24.02,33.66,22.94,17.37,19.06,21.47,14.08,16.33,4.21,18,8.2,3.56,2.22,20.28,31.41,31.84,14.49,22.89,24.04,18.69,18.72,22.9,9.83,4.04,22.47,6.38,22.03,13.33,24.66,3.28,8.82,9.7,5.11,8.42,20.35,7.06,9.8,20.45,24.2,18.28,22.56,16.35,13.86,27.79,13.65,23.58,25.53,18.4,31.79,3.79,19.59,19.82,3.4,16.72,27.63,17.26,42.62,14.39,21.17,16.58,9.88,6.3,8.37,7.33,7.61,21.38,20.48,18.34,18.58,18.12,19.58,15.85,20.23,4.27,2.55,17.51,24.12,29.93,16.2,23.52,16.35,24.89,35.96,2.38,16.48,5.76,11.98,2.23,42.12,21.44,40.2,2.79,30.94,8.73,32.69,19.63,3.59,17.55,25.32,16.29,22.84,23.39,17.85,3.74,5.12,25.87,51.06,18.74,6.36,25.38,3.41,18.44,15.16,5.98,11.2,10.69,4.71,10.32,16.39,4.46,6.82,21.32,14.71,17.52,2.47,59.82,23.82,25.66,6.11,20.25,18.42,4.52,51.54,17.98,19,5.07,15.95,16.1,31.42,36.81,17.58,24.85,4.28,35.03,7.51,7.78,5.44,18.73,7.72,20.89,6.94,17.66,10.04,26.86,16.71,17.39,14.36,18.57,13.82,25.95,4.84,6.91,5.91,10.31,13.77,2.19,45.97,16.7,26.5,30.42,47.16,6.49,4.36,22.81,24.56,28.28,12.32,22.02,23.82,1.01,21.43,46.81,13.49,31.42,7.17,18.99,46.81,13.49,31.42,7.17,18.99
2003,3.99,6.58,15.79,24.14,34.17,23.34,17.69,19.49,21.98,14.37,16.74,4.44,18.22,8.56,3.79,2.36,20.53,31.75,32.29,14.72,23.14,24.56,19.15,19.19,23.48,10.19,4.31,23.03,6.64,22.56,13.57,25.1,3.46,9.2,10.12,5.36,8.73,20.77,7.34,10.23,21.13,24.63,18.54,22.72,16.62,14.13,28.32,13.88,24.3,26.18,18.84,32.41,3.98,19.83,19.93,3.58,17.01,28.19,17.54,43.22,14.84,21.69,16.98,10.33,6.6,8.78,7.72,7.89,21.68,21.07,18.87,19.11,18.69,19.87,16.54,20.46,4.54,2.69,18.06,24.69,30.36,16.44,23.74,16.59,25.48,36.46,2.45,16.85,6.05,12.35,2.36,42.87,21.99,40.56,2.99,31.34,9.01,33.14,20.09,3.78,18.17,25.46,16.61,22.98,23.94,18.05,3.93,5.44,26.35,51.55,18.92,6.7,25.64,3.6,18.85,15.61,6.24,11.69,10.99,4.95,10.83,16.96,4.69,7.18,21.83,15.13,17.89,2.62,60.09,24.36,26.12,6.4,20.79,18.8,4.68,52.07,18.47,19.19,5.2,16.35,16.61,31.92,37.24,17.8,24.98,4.56,35.52,7.79,8.09,5.49,19.28,8.05,21.48,7.24,17.94,10.5,27.34,16.9,17.62,14.62,19.06,14.23,26.53,5.07,7.24,6.25,10.64,14.2,2.32,46.62,17.32,27.04,31.02,47.83,6.82,4.58,22.99,24.98,28.94,12.68,22.63,24.17,1.08,22.02,47.46,14,32.02,7.43,19.47,47.46,14,32.02,7.43,19.47
2004,4.2,6.93,16.2,24.25,34.68,23.75,18.04,19.93,22.48,14.66,17.17,4.68,18.44,8.93,4.04,2.5,20.79,32.1,32.74,14.96,23.39,25.07,19.62,19.66,24.05,10.56,4.58,23.57,6.9,23.09,13.81,25.54,3.64,9.59,10.56,5.63,9.05,21.2,7.63,10.67,21.83,25.06,18.8,22.88,16.9,14.42,28.85,14.11,25.03,26.84,19.28,33.04,4.19,20.07,20.04,3.76,17.3,28.75,17.82,43.84,15.29,22.22,17.39,10.78,6.9,9.21,8.11,8.19,21.98,21.66,19.41,19.65,19.27,20.17,17.27,20.71,4.81,2.83,18.6,25.27,30.81,16.68,23.95,16.83,26.08,36.96,2.54,17.24,6.36,12.73,2.5,43.58,22.54,40.92,3.2,31.75,9.32,33.59,20.54,3.98,18.79,25.6,16.94,23.12,24.5,18.24,4.12,5.78,26.83,52.03,19.11,7.06,25.9,3.81,19.25,16.1,6.51,12.19,11.3,5.21,11.34,17.55,4.93,7.55,22.35,15.55,18.26,2.79,60.35,24.9,26.58,6.7,21.31,19.19,4.85,52.63,18.97,19.4,5.34,16.75,17.13,32.43,37.66,18.03,25.11,4.85,36.02,8.09,8.4,5.54,19.84,8.39,22.07,7.56,18.23,10.97,27.82,17.1,17.85,14.87,19.55,14.66,27.13,5.3,7.58,6.61,10.98,14.64,2.46,47.26,17.93,27.59,31.63,48.5,7.16,4.81,23.17,25.4,29.6,13.07,23.25,24.53,1.16,22.62,48.1,14.52,32.62,7.71,19.94,48.1,14.52,32.62,7.71,19.94
2005,4.43,7.29,16.62,24.36,35.21,24.16,18.39,20.37,22.98,14.95,17.62,4.93,18.66,9.32,4.29,2.65,21.05,32.45,33.18,15.21,23.64,25.57,20.1,20.13,24.63,10.95,4.87,24.09,7.17,23.61,14.06,25.98,3.84,10,11.01,5.9,9.38,21.63,7.94,11.11,22.55,25.49,19.06,23.06,17.18,14.71,29.39,14.35,25.77,27.49,19.72,33.67,4.4,20.31,20.15,3.96,17.58,29.3,18.1,44.47,15.73,22.75,17.82,11.24,7.22,9.64,8.52,8.49,22.28,22.24,19.96,20.2,19.86,20.49,18.02,20.97,5.09,2.97,19.16,25.85,31.27,16.92,24.16,17.07,26.68,37.45,2.64,17.63,6.68,13.14,2.64,44.25,23.1,41.28,3.42,32.16,9.66,34.05,20.97,4.19,19.42,25.75,17.26,23.27,25.07,18.45,4.33,6.14,27.32,52.51,19.3,7.43,26.15,4.02,19.65,16.62,6.79,12.69,11.61,5.47,11.85,18.15,5.17,7.94,22.87,15.97,18.63,2.95,60.61,25.44,27.06,7,21.83,19.58,5.03,53.22,19.49,19.6,5.47,17.14,17.65,32.93,38.09,18.27,25.24,5.15,36.51,8.39,8.72,5.6,20.41,8.74,22.64,7.89,18.52,11.45,28.31,17.31,18.09,15.12,20.05,15.09,27.73,5.55,7.93,7,11.35,15.09,2.61,47.9,18.55,28.13,32.25,49.16,7.53,5.05,23.36,25.82,30.24,13.47,23.88,24.87,1.24,23.22,48.72,15.06,33.22,8.01,20.4,48.72,15.06,33.22,8.01,20.4
2006,4.66,7.66,17.06,24.46,35.73,24.58,18.77,20.81,23.47,15.24,18.09,5.2,18.87,9.71,4.57,2.81,21.32,32.8,33.62,15.46,23.88,26.08,20.57,20.59,25.21,11.34,5.17,24.6,7.45,24.13,14.3,26.43,4.05,10.42,11.46,6.19,9.72,22.06,8.25,11.56,23.27,25.92,19.3,23.24,17.46,15.01,29.93,14.58,26.53,28.15,20.16,34.31,4.63,20.54,20.27,4.17,17.85,29.84,18.38,45.1,16.17,23.28,18.28,11.7,7.55,10.08,8.94,8.8,22.58,22.83,20.51,20.77,20.46,20.81,18.81,21.26,5.39,3.12,19.71,26.42,31.73,17.15,24.36,17.3,27.28,37.94,2.74,18.03,7.02,13.56,2.79,44.88,23.68,41.64,3.66,32.56,10.01,34.51,21.41,4.4,20.06,25.91,17.59,23.42,25.65,18.66,4.55,6.53,27.81,52.98,19.5,7.82,26.4,4.25,20.02,17.16,7.08,13.2,11.93,5.74,12.38,18.76,5.43,8.35,23.39,16.38,18.99,3.13,60.87,25.98,27.56,7.32,22.35,19.98,5.21,53.81,20.01,19.82,5.61,17.52,18.16,33.43,38.53,18.53,25.38,5.46,37.01,8.7,9.05,5.66,20.99,9.1,23.22,8.23,18.82,11.94,28.8,17.52,18.33,15.38,20.56,15.53,28.33,5.8,8.29,7.42,11.75,15.55,2.76,48.53,19.17,28.68,32.87,49.83,7.9,5.3,23.55,26.24,30.87,13.88,24.51,25.22,1.33,23.82,49.33,15.61,33.82,8.34,20.85,49.33,15.61,33.82,8.34,20.85
2007,4.91,8.04,17.51,24.55,36.25,25,19.15,21.26,23.96,15.54,18.58,5.47,19.08,10.11,4.85,2.99,21.6,33.17,34.06,15.72,24.13,26.59,21.05,21.06,25.79,11.74,5.47,25.09,7.74,24.64,14.54,26.87,4.26,10.85,11.93,6.48,10.06,22.49,8.58,12.02,23.99,26.35,19.54,23.43,17.74,15.31,30.49,14.81,27.29,28.82,20.59,34.96,4.86,20.77,20.4,4.38,18.13,30.39,18.65,45.75,16.6,23.81,18.75,12.17,7.88,10.53,9.37,9.12,22.88,23.42,21.07,21.34,21.07,21.14,19.61,21.57,5.69,3.28,20.27,27,32.22,17.38,24.56,17.53,27.88,38.44,2.84,18.44,7.36,13.99,2.95,45.47,24.28,42.02,3.9,32.98,10.38,34.99,21.85,4.63,20.7,26.08,17.91,23.58,26.25,18.88,4.79,6.94,28.3,53.44,19.71,8.22,26.63,4.49,20.38,17.73,7.38,13.71,12.26,6.02,12.9,19.4,5.7,8.77,23.92,16.78,19.35,3.31,61.13,26.52,28.1,7.66,22.86,20.38,5.4,54.41,20.55,20.04,5.76,17.91,18.67,33.94,38.97,18.8,25.52,5.78,37.52,9.02,9.39,5.72,21.57,9.47,23.79,8.58,19.11,12.42,29.28,17.74,18.58,15.63,21.08,15.99,28.94,6.06,8.66,7.86,12.16,16.03,2.93,49.15,19.8,29.22,33.49,50.5,8.3,5.57,23.75,26.67,31.5,14.31,25.14,25.55,1.42,24.43,49.93,16.18,34.42,8.68,21.3,49.93,16.18,34.42,8.68,21.3
2008,5.16,8.44,17.98,24.64,36.78,25.43,19.54,21.72,24.45,15.83,19.09,5.76,19.28,10.52,5.16,3.17,21.89,33.55,34.5,15.99,24.38,27.1,21.54,21.53,26.37,12.15,5.78,25.58,8.04,25.15,14.79,27.32,4.49,11.29,12.4,6.79,10.41,22.93,8.92,12.48,24.72,26.78,19.77,23.63,18.03,15.62,31.04,15.04,28.07,29.49,21.03,35.62,5.11,20.99,20.53,4.61,18.4,30.93,18.92,46.4,17.02,24.35,19.24,12.64,8.23,10.98,9.81,9.46,23.17,24.02,21.64,21.93,21.69,21.49,20.43,21.89,5.99,3.45,20.84,27.58,32.71,17.61,24.75,17.76,28.48,38.95,2.94,18.86,7.72,14.45,3.12,46.05,24.88,42.4,4.16,33.4,10.76,35.48,22.3,4.87,21.35,26.25,18.23,23.73,26.87,19.1,5.04,7.37,28.79,53.9,19.94,8.63,26.86,4.74,20.71,18.31,7.68,14.23,12.59,6.31,13.43,20.04,5.98,9.2,24.46,17.18,19.7,3.51,61.39,27.05,28.67,8,23.37,20.78,5.59,54.99,21.09,20.26,5.91,18.29,19.19,34.45,39.42,19.08,25.66,6.12,38.03,9.35,9.74,5.78,22.16,9.84,24.35,8.94,19.41,12.91,29.75,17.96,18.82,15.89,21.6,16.45,29.57,6.34,9.05,8.33,12.59,16.52,3.1,49.77,20.44,29.77,34.12,51.18,8.72,5.85,23.95,27.1,32.11,14.77,25.78,25.89,1.52,25.04,50.52,16.77,35.02,9.05,21.74,50.52,16.77,35.02,9.05,21.74
