country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,7.88,8.10,8.31,8.55,8.80,9.05,9.29,9.53,9.77,10.01,10.27,10.52,10.77,11.04,11.30,11.57
Angola,5.15,5.32,5.51,5.71,5.92,6.14,6.37,6.61,6.87,7.12,7.37,7.60,7.83,8.06,8.29,8.52
Albania,5.86,5.99,6.13,6.26,6.39,6.52,6.64,6.76,6.88,7.00,7.12,7.24,7.35,7.46,7.57,7.69
Andorra,7.67,7.73,7.79,7.85,7.90,7.95,7.99,8.02,8.04,8.05,8.05,8.05,8.06,8.05,8.06,8.09
United Arab Emirates,11.47,11.81,12.17,12.55,12.95,13.33,13.67,13.97,14.22,14.42,14.57,14.65,14.67,14.77,14.88,15.02
Argentina,8.68,8.75,8.80,8.84,8.88,8.94,9.00,9.08,9.16,9.25,9.34,9.44,9.55,9.66,9.77,9.88
Armenia,7.63,7.78,7.95,8.15,8.36,8.60,8.85,9.09,9.35,9.60,9.81,10.03,10.27,10.50,10.74,10.99
Antigua and Barbuda,6.30,6.48,6.65,6.83,7.03,7.24,7.46,7.71,7.97,8.23,8.49,8.75,9.01,9.30,9.60,9.92
Australia,6.63,6.69,6.73,6.77,6.79,6.81,6.82,6.82,6.82,6.82,6.81,6.81,6.80,6.79,6.79,6.79
Austria,5.08,5.14,5.20,5.25,5.29,5.32,5.34,5.35,5.36,5.36,5.35,5.36,5.37,5.38,5.39,5.41
Azerbaijan,7.26,7.42,7.60,7.80,8.03,8.28,8.56,8.87,9.19,9.53,9.88,10.22,10.56,10.89,11.23,11.57
Burundi,2.44,2.54,2.65,2.75,2.87,2.98,3.09,3.20,3.32,3.44,3.56,3.68,3.81,3.94,4.09,4.24
Belgium,5.92,5.89,5.85,5.83,5.80,5.77,5.75,5.72,5.70,5.68,5.66,5.65,5.65,5.65,5.66,5.67
Benin,5.54,5.69,5.83,5.97,6.11,6.25,6.38,6.52,6.65,6.77,6.87,6.97,7.07,7.17,7.28,7.39
Burkina Faso,4.63,4.80,4.99,5.19,5.39,5.61,5.81,6.01,6.20,6.38,6.55,6.71,6.87,7.03,7.20,7.36
Bangladesh,7.31,7.53,7.74,7.96,8.17,8.38,8.59,8.79,8.99,9.18,9.36,9.53,9.71,9.89,10.07,10.25
Bulgaria,6.31,6.42,6.53,6.65,6.77,6.89,7.02,7.15,7.30,7.45,7.60,7.76,7.93,8.09,8.25,8.42
