country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,1.1,1.17,1.25,1.34,1.43,1.52,1.62,1.73,1.84,1.96,2.09,2.22,2.36,2.52,2.68,2.85,3.03,3.22
Angola,1.32,1.41,1.51,1.62,1.73,1.85,1.98,2.12,2.26,2.42,2.58,2.76,2.94,3.14,3.34,3.56,3.8,4.05
Albania,11.21,11.65,12.13,12.63,13.15,13.7,14.27,14.86,15.47,16.11,16.75,17.42,18.09,18.77,19.46,20.16,20.86,21.57
Andorra,20.22,20.58,20.93,21.28,21.62,21.95,22.29,22.61,22.94,23.26,23.57,23.89,24.21,24.52,24.85,25.17,25.51,25.86
United Arab Emirates,17.18,17.66,18.17,18.7,19.25,19.81,20.39,20.98,21.58,22.2,22.83,23.47,24.12,24.78,25.44,26.12,26.81,27.51
Argentina,18.63,19.09,19.56,20.04,20.52,21.01,21.51,22.01,22.52,23.03,23.55,24.08,24.61,25.14,25.68,26.23,26.78,27.34
Armenia,10.59,10.86,11.15,11.46,11.77,12.11,12.45,12.81,13.19,13.57,13.97,14.38,14.8,15.23,15.67,16.12,16.58,17.07
Antigua and Barbuda,6.6,6.85,7.09,7.34,7.59,7.84,8.1,8.36,8.63,8.9,9.19,9.48,9.79,10.12,10.47,10.83,11.21,11.62
Australia,19.32,19.9,20.49,21.08,21.67,22.27,22.86,23.45,24.04,24.64,25.23,25.83,26.44,27.04,27.66,28.28,28.92,29.56
Austria,13.92,14.34,14.76,15.19,15.63,16.07,16.51,16.96,17.41,17.87,18.34,18.81,19.29,19.78,20.28,20.8,21.32,21.86
Azerbaijan,8.69,8.96,9.24,9.55,9.88,10.23,10.6,10.99,11.4,11.82,12.27,12.73,13.2,13.69,14.2,14.73,15.28,15.84
Burundi,0.79,0.84,0.89,0.94,1,1.06,1.12,1.18,1.25,1.32,1.4,1.48,1.57,1.66,1.76,1.87,1.98,2.1
Belgium,15.93,16.32,16.72,17.11,17.51,17.92,18.32,18.73,19.14,19.56,19.98,20.4,20.83,21.27,21.71,22.16,22.63,23.1
Benin,1.95,2.06,2.18,2.3,2.42,2.55,2.69,2.83,2.98,3.13,3.3,3.46,3.64,3.83,4.03,4.24,4.46,4.7
Burkina Faso,0.78,0.83,0.89,0.96,1.03,1.11,1.19,1.28,1.37,1.47,1.58,1.7,1.82,1.95,2.1,2.25,2.41,2.59
Bangladesh,0.66,0.71,0.76,0.81,0.88,0.94,1.01,1.09,1.18,1.27,1.36,1.47,1.58,1.7,1.83,1.96,2.11,2.27
Bulgaria,16.69,17.13,17.58,18.05,18.53,19.02,19.52,20.03,20.55,21.08,21.61,22.15,22.69,23.24,23.8,24.36,24.92,25.5
Bahrain,17.14,17.55,17.97,18.39,18.82,19.26,19.71,20.17,20.65,21.14,21.64,22.16,22.69,23.24,23.79,24.37,24.95,25.54
Bahamas,15.41,15.89,16.38,16.87,17.36,17.86,18.36,18.86,19.38,19.9,20.42,20.95,21.5,22.06,22.63,23.22,23.81,24.43
Bosnia and Herzegovina,10.49,10.81,11.15,11.49,11.83,12.19,12.55,12.92,13.3,13.68,14.08,14.48,14.89,15.31,15.75,16.2,16.67,17.15
Belarus,13.88,14.31,14.75,15.2,15.66,16.13,16.6,17.09,17.58,18.07,18.56,19.05,19.55,20.05,20.56,21.07,21.59,22.11
Belize,9.34,9.71,10.08,10.45,10.83,11.21,11.59,11.97,12.36,12.76,13.18,13.6,14.03,14.49,14.96,15.45,15.96,16.49
Bolivia,7.89,8.22,8.55,8.89,9.23,9.58,9.94,10.31,10.68,11.07,11.46,11.87,12.28,12.71,13.14,13.59,14.05,14.52
Brazil,10.54,10.99,11.44,11.88,12.33,12.77,13.22,13.67,14.12,14.58,15.04,15.51,15.99,16.47,16.96,17.47,17.99,18.51
Barbados,7.72,8.07,8.41,8.77,9.12,9.49,9.85,10.23,10.61,11.01,11.41,11.83,12.27,12.72,13.18,13.67,14.17,14.7
Brunei Darussalam,4.99,5.3,5.62,5.95,6.31,6.68,7.07,7.47,7.89,8.33,8.79,9.27,9.76,10.27,10.8,11.35,11.92,12.51
Bhutan,1.38,1.5,1.63,1.77,1.92,2.08,2.25,2.43,2.62,2.81,3.02,3.23,3.45,3.68,3.92,4.17,4.44,4.71
Botswana,3.66,3.91,4.15,4.39,4.63,4.87,5.11,5.36,5.6,5.85,6.11,6.37,6.63,6.91,7.2,7.5,7.82,8.15
Central African Republic,1.59,1.67,1.75,1.84,1.93,2.03,2.13,2.24,2.35,2.47,2.59,2.72,2.86,3.01,3.16,3.33,3.51,3.7
Canada,19.28,19.9,20.51,21.12,21.72,22.32,22.91,23.49,24.08,24.66,25.24,25.83,26.42,27.01,27.61,28.22,28.83,29.46
Switzerland,14.42,14.83,15.24,15.65,16.07,16.5,16.94,17.38,17.82,18.28,18.74,19.2,19.67,20.16,20.65,21.15,21.67,22.19
Chile,16.67,17.13,17.58,18.04,18.5,18.97,19.43,19.91,20.38,20.86,21.35,21.83,22.33,22.82,23.32,23.83,24.35,24.87
China,1.64,1.77,1.92,2.08,2.25,2.44,2.64,2.85,3.08,3.33,3.59,3.86,4.15,4.46,4.78,5.13,5.49,5.87
Cote d'Ivoire,2.25,2.37,2.51,2.66,2.81,2.98,3.15,3.34,3.53,3.74,3.95,4.18,4.42,4.67,4.93,5.21,5.51,5.81
Cameroon,2.45,2.6,2.76,2.92,3.1,3.27,3.46,3.66,3.86,4.07,4.29,4.51,4.75,5,5.26,5.53,5.81,6.11
Democratic Republic of the Congo,1.29,1.37,1.46,1.55,1.65,1.75,1.86,1.97,2.1,2.22,2.36,2.5,2.66,2.82,2.99,3.17,3.37,3.57
