iso3,country,region,subregion,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015,2016
AFG,Afghanistan,Asia,Southern Asia,3.22,3.39,3.58,3.78,3.99,4.2,4.43,4.66,4.91,5.16,5.43,5.71,6,6.31,6.62,6.95,7.29,7.65
AGO,Angola,Africa,Middle Africa,5.34,5.63,5.94,6.25,6.58,6.93,7.29,7.66,8.04,8.44,8.85,9.27,9.7,10.15,10.61,11.09,11.57,12.07
ALB,Albania,Europe,Southern Europe,14.34,14.67,15.02,15.4,15.79,16.2,16.62,17.06,17.51,17.98,18.45,18.92,19.4,19.88,20.36,20.84,21.33,21.8
AND,Andorra,Europe,Southern Europe,23.61,23.76,23.89,24.02,24.14,24.25,24.36,24.46,24.55,24.64,24.72,24.8,24.89,24.97,25.05,25.14,25.24,25.34
ARE,United Arab Emirates,Asia,Western Asia,32.22,32.68,33.16,33.66,34.17,34.68,35.21,35.73,36.25,36.78,37.32,37.85,38.39,38.92,39.45,39.98,40.51,41.04
ARG,Argentina,Latin America and the Caribbean,South America,21.75,22.14,22.54,22.94,23.34,23.75,24.16,24.58,25,25.43,25.86,26.29,26.73,27.17,27.62,28.06,28.51,28.97
ARM,Armenia,Asia,Western Asia,16.48,16.76,17.05,17.37,17.69,18.04,18.39,18.77,19.15,19.54,19.95,20.36,20.78,21.22,21.66,22.1,22.56,23.03
ATG,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,17.78,18.2,18.63,19.06,19.49,19.93,20.37,20.81,21.26,21.72,22.19,22.67,23.17,23.68,24.21,24.75,25.31,25.9
AUS,Australia,Oceania,Australia and New Zealand,19.95,20.45,20.96,21.47,21.98,22.48,22.98,23.47,23.96,24.45,24.94,25.42,25.91,26.39,26.89,27.38,27.88,28.38
AUT,Austria,Europe,Western Europe,13.21,13.5,13.79,14.08,14.37,14.66,14.95,15.24,15.54,15.83,16.13,16.43,16.73,17.03,17.35,17.66,17.98,18.32
AZE,Azerbaijan,Asia,Western Asia,15.24,15.57,15.94,16.33,16.74,17.17,17.62,18.09,18.58,19.09,19.6,20.14,20.68,21.24,21.8,22.38,22.97,23.57
BDI,Burundi,Africa,Eastern Africa,3.58,3.78,3.99,4.21,4.44,4.68,4.93,5.2,5.47,5.76,6.07,6.38,6.71,7.06,7.42,7.8,8.2,8.61
BEL,Belgium,Europe,Western Europe,17.32,17.55,17.78,18,18.22,18.44,18.66,18.87,19.08,19.28,19.49,19.69,19.9,20.1,20.31,20.52,20.74,20.96
BEN,Benin,Africa,Western Africa,7.19,7.52,7.86,8.2,8.56,8.93,9.32,9.71,10.11,10.52,10.94,11.37,11.81,12.26,12.73,13.2,13.69,14.2
BFA,Burkina Faso,Africa,Western Africa,2.97,3.15,3.35,3.56,3.79,4.04,4.29,4.57,4.85,5.16,5.47,5.8,6.15,6.51,6.89,7.28,7.69,8.11
BGD,Bangladesh,Asia,Southern Asia,1.87,1.98,2.1,2.22,2.36,2.5,2.65,2.81,2.99,3.17,3.36,3.56,3.76,3.98,4.21,4.45,4.7,4.95
BGR,Bulgaria,Europe,Eastern Europe,19.6,19.82,20.05,20.28,20.53,20.79,21.05,21.32,21.6,21.89,22.18,22.47,22.77,23.06,23.37,23.67,23.98,24.29
BHR,Bahrain,Asia,Western Asia,30.41,30.74,31.07,31.41,31.75,32.1,32.45,32.8,33.17,33.55,33.94,34.33,34.73,35.14,35.56,35.98,36.41,36.84
BHS,Bahamas,Latin America and the Caribbean,Caribbean,30.45,30.92,31.38,31.84,32.29,32.74,33.18,33.62,34.06,34.5,34.94,35.38,35.82,36.26,36.71,37.16,37.62,38.08
BIH,Bosnia and Herzegovina,Europe,Southern Europe,13.82,14.04,14.26,14.49,14.72,14.96,15.21,15.46,15.72,15.99,16.26,16.54,16.83,17.13,17.45,17.77,18.1,18.44
BLR,Belarus,Europe,Eastern Europe,22.18,22.41,22.65,22.89,23.14,23.39,23.64,23.88,24.13,24.38,24.62,24.86,25.1,25.33,25.57,25.8,26.04,26.27
BLZ,Belize,Latin America and the Caribbean,Central America,22.46,23,23.52,24.04,24.56,25.07,25.57,26.08,26.59,27.1,27.61,28.13,28.67,29.21,29.76,30.33,30.9,31.49
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,17.3,17.76,18.23,18.69,19.15,19.62,20.1,20.57,21.05,21.54,22.02,22.52,23.01,23.51,24.02,24.53,25.04,25.56
BRA,Brazil,Latin America and the Caribbean,South America,17.25,17.75,18.24,18.72,19.19,19.66,20.13,20.59,21.06,21.53,22,22.47,22.95,23.43,23.91,24.41,24.9,25.4
BRB,Barbados,Latin America and the Caribbean,Caribbean,21.13,21.72,22.31,22.9,23.48,24.05,24.63,25.21,25.79,26.37,26.96,27.56,28.17,28.78,29.41,30.04,30.68,31.34
BRN,Brunei Darussalam,Asia,South-eastern Asia,8.8,9.13,9.48,9.83,10.19,10.56,10.95,11.34,11.74,12.15,12.57,12.99,13.43,13.87,14.33,14.79,15.26,15.75
BTN,Bhutan,Asia,Southern Asia,3.33,3.55,3.79,4.04,4.31,4.58,4.87,5.17,5.47,5.78,6.09,6.41,6.74,7.08,7.42,7.77,8.13,8.5
BWA,Botswana,Africa,Southern Africa,20.63,21.28,21.89,22.47,23.03,23.57,24.09,24.6,25.09,25.58,26.05,26.52,26.99,27.45,27.92,28.39,28.86,29.33
CAF,Central African Republic,Africa,Middle Africa,5.68,5.91,6.14,6.38,6.64,6.9,7.17,7.45,7.74,8.04,8.36,8.68,9.02,9.37,9.74,10.12,10.51,10.92
CAN,Canada,N. America,Northern America,20.38,20.94,21.49,22.03,22.56,23.09,23.61,24.13,24.64,25.15,25.66,26.18,26.69,27.21,27.73,28.26,28.79,29.33
CHE,Switzerland,Europe,Western Europe,12.61,12.85,13.09,13.33,13.57,13.81,14.06,14.3,14.54,14.79,15.04,15.29,15.54,15.79,16.05,16.31,16.58,16.86
CHL,Chile,Latin America and the Caribbean,South America,23.35,23.78,24.22,24.66,25.1,25.54,25.98,26.43,26.87,27.32,27.77,28.22,28.67,29.12,29.58,30.03,30.49,30.95
CHN,China,Asia,Eastern Asia,2.8,2.95,3.11,3.28,3.46,3.64,3.84,4.05,4.26,4.49,4.72,4.96,5.2,5.45,5.71,5.97,6.25,6.52
CIV,Côte d’Ivoire,Africa,Western Africa,7.77,8.11,8.45,8.82,9.2,9.59,10,10.42,10.85,11.29,11.74,12.21,12.68,13.16,13.65,14.15,14.66,15.18
CMR,Cameroon,Africa,Middle Africa,8.5,8.88,9.28,9.7,10.12,10.56,11.01,11.46,11.93,12.4,12.88,13.37,13.86,14.36,14.87,15.39,15.91,16.45
COD,Democratic Republic of the Congo,Africa,Middle Africa,4.41,4.63,4.87,5.11,5.36,5.63,5.9,6.19,6.48,6.79,7.11,7.44,7.78,8.13,8.5,8.87,9.26,9.67
COG,Congo,Africa,Middle Africa,7.53,7.82,8.11,8.42,8.73,9.05,9.38,9.72,10.06,10.41,10.77,11.13,11.51,11.89,12.28,12.68,13.08,13.5
COL,Colombia,Latin America and the Caribbean,South America,19.1,19.51,19.93,20.35,20.77,21.2,21.63,22.06,22.49,22.93,23.38,23.82,24.28,24.74,25.2,25.67,26.15,26.63
COM,Comoros,Africa,Eastern Africa,6.27,6.53,6.79,7.06,7.34,7.63,7.94,8.25,8.58,8.92,9.27,9.64,10.02,10.42,10.83,11.26,11.71,12.17
CPV,Cabo Verde,Africa,Western Africa,8.55,8.96,9.37,9.8,10.23,10.67,11.11,11.56,12.02,12.48,12.94,13.41,13.89,14.37,14.85,15.34,15.83,16.32
